Date, Open, High, Low, Close, Volume
05/29/18, 289700, 289700, 283600, 286000, 883
05/25/18, 291600, 292370, 290100, 290886, 225
05/24/18, 293980, 294110, 291222, 291850, 194
05/23/18, 296500, 296580, 292647, 294400, 284
05/22/18, 297300, 298300, 296006, 296991, 171
05/21/18, 296200, 297775, 295745, 296620, 218
05/18/18, 296440, 296440, 293965, 294380, 171
05/17/18, 296750, 296840, 295000, 296440, 130
05/16/18, 295700, 297580, 295000, 296300, 111
05/15/18, 297555, 298155, 294420, 296200, 211
05/14/18, 300000, 300730, 298100, 298200, 166
05/11/18, 300300, 303530, 298360, 298770, 281
05/10/18, 300140, 301630, 298635, 301630, 253
05/09/18, 295000, 300000, 294950, 299991, 212
05/08/18, 295560, 295770, 292240, 295700, 268
05/07/18, 294720, 297500, 293700, 295600, 253
05/04/18, 288200, 294349, 280428, 292600, 673
05/03/18, 289171, 289171, 284850, 287051, 496
05/02/18, 291850, 292400, 289750, 290450, 306
05/01/18, 291150, 292730, 289170, 292730, 393
04/30/18, 296900, 297240, 290650, 290650, 319
04/27/18, 295850, 296455, 293980, 295995, 138
04/26/18, 296750, 296760, 294400, 295769, 115
04/25/18, 294660, 296010, 291995, 295279, 239
04/24/18, 299600, 300750, 293000, 295734, 281
04/23/18, 300998, 301420, 298000, 298821, 183
04/20/18, 301680, 301680, 298450, 300140, 139
04/19/18, 300000, 302000, 298990, 300300, 142
04/18/18, 300170, 301300, 299130, 299205, 135
04/17/18, 299499, 300950, 298590, 298701, 209
04/16/18, 297949, 299892, 296600, 297181, 241
04/13/18, 299200, 299960, 294300, 295891, 210
04/12/18, 295320, 299370, 295000, 297021, 250
04/11/18, 295250, 295500, 292690, 293249, 209
04/10/18, 296760, 299500, 296300, 296556, 309
04/09/18, 296150, 298000, 292560, 292671, 261
04/06/18, 298810, 299750, 290990, 294000, 364
04/05/18, 301410, 304200, 300500, 301750, 427
04/04/18, 291100, 300900, 291100, 299850, 357
04/03/18, 295480, 297325, 291885, 296850, 176
04/02/18, 298620, 299100, 288740, 293410, 463
03/29/18, 296540, 301518, 296540, 299100, 310
03/28/18, 296400, 298145, 291640, 295041, 281
03/27/18, 301000, 302590, 292380, 294650, 301
03/26/18, 295500, 299925, 293455, 299500, 426
03/23/18, 297440, 298389, 288450, 288755, 513
03/22/18, 304730, 304730, 295950, 296949, 641
03/21/18, 308950, 310720, 306020, 307600, 273
